Account,ShareOfChargesLOC,ShareOfFXLOC
ABD134958,88.39,105.27
ABD130756,76.77,0
ABD130756,76.77,0
ABD130493,0,63.18
ABD133957,649.36,417.96
ABD133957,649.36,417.96
ABD133452,182.25,54.68
ABD133452,182.25,54.68
ABD130833,52.85,26.73
ABD133892,83.45,-68.32
ABD130866,111.41,-13.18
ABD130866,111.41,-13.18
ABD130262,61.24,-1.22
ABD133946,105.27,98.01
ABD133946,105.27,98.01
ABD133012,1361.25,298.87
ABD133980,0,30.5
ABD131461,88.76,42.53
ABD131461,88.76,42.53
ABD130097,91.5,24.4
ABD132604,27.23,137.94
ABD132484,72.6,42.35
ABD132484,72.6,42.35
ABD130514,49.39,20.66
ABD134277,23.87,51.03
ABD132846,143.76,9.58
ABD132846,143.76,9.58
ABD132154,236.56,6.08
ABD132154,236.56,6.08
ABD130965,104.05,165.32
ABD130965,104.05,165.32
ABD134178,16.4,2.43
ABD134178,16.4,2.43
ABD134552,104.05,82.66
ABD134552,104.05,82.66
ABD134826,65.52,-1.21
ABD134529,104.05,144.96
ABD134529,104.05,144.96
ABD134376,104.05,57.5
ABD134376,104.05,57.5
ABD131757,26.96,17.97
ABD131757,26.96,17.97
ABD131537,27.34,47.39
ABD131537,27.34,47.39
ABD130239,89.12,76.86
ABD135597,72.6,56.87
ABD131021,106.14,1179.74
ABD131944,145.92,15.81
ABD133573,68.58,41.34
ABD130932,88.39,52.03
ABD133979,134.67,182.71
ABD133979,134.67,182.71
ABD131526,80.74,53.46
ABD131526,80.74,53.46
ABD130240,3448.5,2286.9
ABD134464,65.61,49.82
ABD134464,65.61,49.82
ABD134639,187.94,244
ABD131812,0,3.63
ABD133320,258.8,1517.54
ABD133429,125.21,30.38
ABD132561,90.75,56.87
ABD132561,90.75,56.87
ABD134552,105.09,70.18
ABD131263,0,8.54
ABD131021,100.28,9.76
ABD132406,91.13,18.23
ABD132406,91.13,18.23
ABD131032,329.4,142.74
ABD130251,37.74,31.15
ABD130251,37.74,31.15
ABD132484,27.34,37.67
ABD132484,27.34,37.67
ABD131351,273.7,286.77
ABD130174,89.82,69.6
ABD132505,71.88,34.74
ABD132505,71.88,34.74
ABD131197,104.05,110.22
ABD131197,104.05,110.22
ABD134893,74.24,42.56
ABD136532,143.58,7.19
ABD136532,143.58,7.19
ABD134408,16.17,13.18
ABD134408,16.17,13.18
ABD134518,74.54,9.72
ABD132747,88.39,129.47
ABD132747,88.39,129.47
ABD137038,26.96,49.12
ABD137038,26.96,49.12
ABD135508,26.96,47.92
ABD135508,26.96,47.92
ABD137379,27.23,31.46
ABD137379,27.23,31.46
ABD130196,437.4,1177.34
ABD130723,73.2,45.14
ABD130107,206.12,-35.94
ABD130107,206.12,-35.94
ABD133441,107.24,317.2
ABD132583,71.88,67.09
ABD132583,71.88,67.09
ABD131032,104.05,31.15
ABD131032,104.05,31.15
ABD131845,93.68,41.31
ABD136444,1280.16,1424.4
ABD134585,142.52,-35.24
ABD133902,73.51,21.78
ABD131339,27.23,18.15
ABD131339,27.23,18.15
ABD136806,118.88,269.83
ABD133979,122.29,-21.87
ABD133979,122.29,-21.87
ABD131867,92.22,9.72
ABD135751,0,38.88
ABD133506,88.05,93.44
ABD133506,88.05,93.44
ABD130383,23.78,85.91
ABD137302,72.6,72.6
ABD132703,186.35,11.98
ABD132703,186.35,11.98
ABD130569,70.35,-6.08
ABD135630,36.66,45.98
ABD136730,170.25,153.67
ABD130284,317.08,119.79
ABD132615,91.47,-4.79
ABD132615,91.47,-4.79
ABD130691,0,60.8
ABD134299,105.96,444.08
ABD133980,73.32,17.97
ABD133980,73.32,17.97
ABD130723,106.14,81.74
ABD130240,675.67,39.53
ABD130240,675.67,39.53
ABD131999,73.32,4.79
ABD131999,73.32,4.79
ABD135805,105.27,203.28
ABD135805,105.27,203.28
ABD131416,23.97,47.58
ABD132934,26.96,71.88
ABD132934,26.96,71.88
ABD130075,104.05,79.07
ABD130075,104.05,79.07
ABD133737,394.44,353.41
ABD133737,394.44,353.41
ABD134365,25.7,86.27
ABD134365,25.7,86.27
ABD134002,154.18,2217.38
ABD133881,88.57,303.75
ABD133881,88.57,303.75
ABD131670,136.13,239.58
ABD134585,94.22,-64.4
ABD134585,94.22,-64.4
ABD130965,94.22,10.94
ABD130965,94.22,10.94
ABD130668,127.58,19.44
ABD130668,127.58,19.44
ABD130415,127.05,24.2
ABD130558,27.23,54.45
ABD130558,27.23,54.45
ABD130909,27.23,35.09
ABD130909,27.23,35.09
ABD132154,26.96,21.56
ABD132154,26.96,21.56
ABD131878,87.33,61.1
ABD131878,87.33,61.1
ABD133847,82.01,3.65
ABD133847,82.01,3.65
ABD132505,91.85,57.11
ABD132505,91.85,57.11
ABD130646,72.9,61.97
ABD130646,72.9,61.97
ABD133429,66.85,45.52
ABD133429,66.85,45.52
ABD136037,88.39,531.19
ABD130415,25.7,38.88
ABD130415,25.7,38.88
ABD130602,105.09,62.92
ABD134617,26.96,29.95
ABD134617,26.96,29.95
ABD130822,71.7,56.31
ABD130822,71.7,56.31
ABD132758,290.4,453.75
ABD130185,26.96,51.51
ABD130185,26.96,51.51
ABD131108,74.23,-14.52
ABD131108,74.23,-14.52
ABD134310,66.16,6.08
ABD130646,88.39,173.03
ABD131713,64.07,16.94
ABD131328,90.75,96.8
ABD131328,90.75,96.8
ABD133793,124.69,13.31
ABD133793,124.69,13.31
ABD131670,25.7,70.47
ABD131670,25.7,70.47
ABD133913,71.7,46.72
ABD133913,71.7,46.72
ABD136071,71.88,216.84
ABD133924,124.69,29.04
ABD133737,90.75,94.38
ABD133737,90.75,94.38
ABD132484,74.05,1.21
ABD130822,23.78,50.82
ABD133496,105.52,629.37
ABD132682,87.69,-7.19
ABD132682,87.69,-7.19
ABD130097,104.05,161.73
ABD130097,104.05,161.73
ABD130415,182.25,38.88
ABD130415,182.25,38.88
ABD132385,262.72,1532.24
ABD132385,262.72,1532.24
ABD133375,64.39,46.21
ABD131791,58.87,-9.72
ABD131791,58.87,-9.72
ABD132714,261.53,1136.03
ABD132714,261.53,1136.03
ABD130833,23.97,52.46
ABD132549,143.76,222.83
ABD132549,143.76,222.83
ABD132682,73.5,9.58
ABD132682,73.5,9.58
ABD136280,0,3.66
ABD131713,94.04,24.3
ABD131713,94.04,24.3
ABD132978,16.47,9.76
ABD130602,0,104.06
ABD133012,157.36,620.73
ABD131119,23.87,37.67
ABD132725,72.6,32.67
ABD132725,72.6,32.67
ABD131120,142.52,236.93
ABD132385,27.34,6.08
ABD132385,27.34,6.08
ABD135872,23.78,75.02
ABD130635,72.9,53.46
ABD133924,104.05,511.55
ABD133924,104.05,511.55
ABD130284,81.25,-48.8
ABD131087,82.76,2.42
ABD136949,783.49,538.25
ABD136949,783.49,538.25
ABD135751,0,64.4
ABD135751,0,64.4
ABD130415,88.39,85.91
ABD130668,27.23,85.91
ABD131746,73.99,17.01
ABD131746,73.99,17.01
ABD136554,72.6,53.24
ABD130932,127.05,10.89
ABD133881,347.94,0
ABD133881,347.94,0
ABD130338,41.91,-64.66
ABD130262,16.17,1.2
ABD130262,16.17,1.2
ABD133375,103.87,22.76
ABD133375,103.87,22.76
ABD136060,88.39,312.18
ABD136060,88.39,312.18
ABD135191,23.87,38.88
ABD132550,370.15,859.01
ABD132484,74.36,9.72
ABD131944,71.7,61.1
ABD131944,71.7,61.1
ABD131670,87.33,434.87
ABD131670,87.33,434.87
ABD137302,89.12,10.89
ABD137302,89.12,10.89
ABD134343,73.2,58.56
ABD132099,95.29,24.2
ABD133012,73.32,15.57
ABD133012,73.32,15.57
ABD131603,1489.89,1026.69
ABD131603,1489.89,1026.69
ABD133528,48.88,2.4
ABD133528,48.88,2.4
ABD131098,180,24
ABD134024,16.34,6.05
ABD133441,74.42,8.47
ABD132198,105.71,76.55
ABD134585,131.72,-28.75
ABD130570,207.73,-17.97
ABD130570,207.73,-17.97
ABD130965,105.52,167.67
ABD130965,105.52,167.67
ABD131791,89.49,2.4
ABD131791,89.49,2.4
ABD130723,74.05,1.21
ABD137324,0,26.62
ABD134552,76.01,-7.19
ABD134552,76.01,-7.19
ABD132462,47.4,106.14
ABD133935,82.22,3.63
ABD133265,49.42,13.18
